srcFile	srcPage	orientationApplied	formType	folio	permitDate	permitNo	dateCkd	REMARKS_changes	changeKeywords	permitStatus	fullTranscription
part03	3	270	points-card	30-6007-009-0030	-	(PERMIT boxes blank)	-	Building points/rate card. All four PERMIT boxes empty. EXTRA FEATURE line records "CBS WALL" 72 units.	CBS wall / concrete block wall	EXPOSURE	FOLIO 30-6007-009-0030 CARD. RATE/CLASS 1; BUILDING NO 1; TYPE CONSTR 1; YEAR BUILT 66; EFFECTIVE AGE 81; DEPR CODE 2; CLUC 0003; SLUC 0300; % COMPLETE 100; FLOORS 2; BEDROOMS 20; BATHS 16; LIVING UNITS 16. POINTS & GRADE: EXTERIOR 17, ELECTRICAL 7, PLUMBING 9, INTERIOR 24, FLOOR FINISH 6, ROOF TYPE 8, ROOF MATERIAL 6, DECKING -, FOUNDATION 10, STRUCTURAL FR 5, MISC -, TOTAL POINTS 112, GRADE +4, TOTAL PTS & GRADE 116. EXTRA FEATURE: CD 136.00, DESCRIPTION "CBS WALL", UNITS 072. Four PERMIT boxes all blank.
part03	4	0	blank-form	(none)	-	-	-	Blank white page (back of points card)	-	NA	Blank page; small ink smudge upper right. No content.
part03	5	90	points-card	30-6007-009-0030	-	(PERMIT boxes blank)	-	Second copy/scan of the same building points card as p3 (identical point values); PERMIT boxes blank; EXTRA FEATURE "CBS WALL" 072 units.	CBS wall / concrete block wall	EXPOSURE	Duplicate of part03 p3 points card. FOLIO 30-6007-009-0030. Same POINTS & GRADE (EXTERIOR 17, ELECTRICAL 7, PLUMBING 9, INTERIOR 24, ROOF TYPE 8, ROOF MAT 6, FOUNDATION 10, STRUCTURAL FR 5, TOTAL PTS 112, GRADE +4, TOTAL 116). EXTRA FEATURE "CBS WALL" units 072. PERMIT boxes blank.
part03	6	0	blank-form	(blank)	-	-	-	Blank DIMENSIONS worksheet template	-	NA	Blank form 509.01-68 (8/96): FOLIO / ADDR blank; four empty DIMENSIONS grids each ending "TOTAL ADJUSTED SQUARE FEET". No data entered.
part03	7	90	other	30 6007 009 0030	BASE PERMIT DT 07/10/2002 (system)	0000191 (base/MISC placeholder)	-	Dot-matrix Building/TPB valuation printout 7/10/2002. Records EXTRA FEATURE "WALL CBS" 672 units yr built 1966. BASE PERMIT NO. 0000191 is a system MISC placeholder (not a real building permit).	CBS wall / concrete block wall	EXPOSURE	FOLIO 30 6007 009 0030, PROP ADDR 10980 SW 202 DR, DATE PRINTED 7/10/2002. LEGAL 7 56 40 .57 AC M/L PB 78-85, CABANA CLUB GDNS APTS SEC 1, LOT 3 BLK 1. LOT SIZE 24829 SQ FT. OR 17421-0049 0896. BASE PERMIT REALTY CGG TYPE MISC DT 07/10/2002 NO. 0000191. BLDG 01 DESC APTS; YR BLT 1966; EFF AGE 1981; FLOORS 2; LIV UNIT 16; BATHS 16; BED RMS 20; CLUC 3; SLUC 300; ZONING 5000. SPEC POINTS: GRADE +4, FOUNDATION 10, EXTERIOR 17, STRUCTURAL FRAME 5, ROOF TYPE 8, ROOF MATERIAL 6, FLOOR FINISH 6, ELECTRICAL 7, PLUMBING 9, INTERIOR 44, TOT PTS & GRADE 116, INSP DATE 07/2002. EXTRA FEATURE: LN1 COD 136 "WALL CBS" price/unit 3.00, units 672.00, yr blt 1966, PC GD 82, value 1,653. REPLACEMENT COST 452,528; total adjusted value 425,376; total adj sqft 11,146.
part03	8	0	blank-form	(blank)	-	-	-	Blank continuous-feed (fanfold) sheet	-	NA	Blank dot-matrix fan-fold page (tractor-feed holes only). No content.
part03	9	0	other	30-6007-009-0030	-	-	6-27-02	Miami-Dade Property Appraiser Narrative History Card. Single admin entry, no physical change.	admin recalc / no change	NA	MIAMI-DADE COUNTY PROPERTY APPRAISER - NARRATIVE HISTORY CARD (REV 03-01). FOLIO # 30-6007-009-0030. Entry DATE 6-27-02: "R/S Calc 02"; note "C/ pts to new appr. system"; initials "BCC". Rest of card blank.
part03	10	0	blank-form	(blank)	-	-	-	Blank white page	-	NA	Blank page. No content.
part03	11	0	other	30 6007 009 0030	-	PERMIT 0000000000 (none)	INSP 04 1994 / 6-27-02	Building Inquiry screen print. PERMIT field all zeros (no permit on file at this screen). X-Features value 1653 (the CBS wall).	CBS wall (x-feature) / no permit on screen	NA	BUILDING INQUIRY (PTXM0580). FOLIO 30 6007 009 0030, PROP ADDR 10980 SW 202 DR. TYPE PAAB DATE 08302001 NO 10525. XF 2 CLUC 0003 SLUC 0300 MULTIFAMILY 10 UNITS PLUS. LOT SIZE 24829 SQ FT. PERMIT 0000000000. BLDG 01 RATE KEY 01 APTS. CONST CD 1, A/C Y, YR BLT 1966, EFF AGE 1981, LIV UNITS 16, BEDROOMS 20, BATHS 16, BLDG X-FEATURES VALUE 1653. Points: EXTERIOR 31, ELECTRIC 5, PLUMBING 11, INTERIOR 30, FL FINISH 12, ROOF TYPE 8, ROOF MAT 4, GRADE 4, PTS&GD 105. REPL COST 409,616. INSP 04 1994 RS DMGASSM. Date 6/27/02.
part03	12	0	blank-form	(blank)	-	-	-	Blank white page	-	NA	Blank page; two small ink specks top right. No content.
part03	13	0	other	30 6007 009 0030	-	PERMIT (blank column)	6-27-02	Building Extra Features screen print. Lists CBS wall extra feature; PERMIT column blank; year built 1966.	CBS wall / concrete block wall	EXPOSURE	BUILDING EXTRA FEATURES (PTXM0590). FOLIO 30 6007 009 0030 BLDG 01. EXTRA FEATURE VALUE 1653. LN 01 CODE 136 DESC "WALL CBS" YR BLT 1966, PRICE 3.00, NO. UNITS 672.00, PERMIT (blank), PC GD 82, VALUE 1653. Date 6/27/02.
part03	14	0	blank-form	(blank)	-	-	-	Blank white page	-	NA	Blank page; small ink speck top right. No content.
